Roll no,Division,Tutorial,Lab
220106007,II,T2,L5
220106008,II,T2,L5
220106009,II,T3,L5
220106010,II,T3,L5
220106011,II,T3,L5
220106012,II,T3,L5
220106013,II,T3,L5
220106014,II,T4,L5
220106015,II,T4,L5
220106016,II,T4,L5
220106017,II,T4,L5
220106018,II,T5,L5
220106019,II,T5,L5
220106020,II,T5,L5
220106021,II,T5,L5
220106022,II,T6,L5
220106023,II,T6,L5
220106024,II,T6,L5
220106025,II,T6,L5
220106026,II,T6,L5
220106027,II,T7,L5
220106028,II,T7,L5
220106029,II,T7,L5
220106030,II,T7,L5
220106031,II,T8,L5
220106032,II,T8,L5
220106033,II,T8,L5
220106034,II,T8,L5
220106035,II,T8,L5
220106036,II,T9,L5
220106037,II,T9,L5
220106038,II,T9,L5
220106039,II,T9,L5
220106040,II,T9,L5
220106041,II,T10,L5
220106042,II,T10,L5
220106043,II,T10,L5
220106044,II,T10,L5
220106045,II,T10,L5
220106046,II,T11,L5
220106047,II,T11,L5
220106048,II,T11,L5
220106049,II,T11,L5
220106050,II,T11,L5
220106051,II,T12,L5
220106052,II,T12,L5
220106053,II,T12,L5
220106054,II,T12,L5
220106055,II,T12,L5
220106056,II,T13,L5
220106057,II,T13,L5
220106058,II,T13,L5
220106059,II,T13,L5
220106060,II,T13,L5
220106061,II,T14,L5
220106062,II,T14,L5
220106063,II,T14,L5
220106064,II,T14,L5
220106065,II,T14,L5
220106066,II,T15,L5
220106067,II,T15,L5
220106068,II,T15,L5
220106069,II,T15,L5
220106070,II,T15,L5
220106071,II,T15,L5
220106072,II,T15,L5
220106073,II,T16,L5
220106074,II,T16,L5
220106075,II,T16,L5
220106076,II,T16,L5
220106077,II,T16,L5
220106078,II,T16,L5
220106079,II,T16,L5
220106080,II,T16,L5
220106081,II,T17,L5
220106082,II,T17,L5
220106083,II,T17,L5
220106084,II,T17,L5
220106085,II,T17,L5
220106086,II,T17,L5
220106087,II,T17,L5
220106088,II,T17,L5
220106089,II,T18,L5
220106090,II,T18,L5
220106091,II,T18,L5
220106092,II,T18,L5
220106093,II,T18,L5
220102091,II,T18,L5
220102092,II,T18,L5
220102093,II,T18,L5
220102094,II,T18,L5
220102095,II,T18,L5
220102096,II,T18,L5
220102097,II,T18,L5
220102098,II,T19,L5
220102099,II,T19,L5
220102100,II,T19,L5
220102101,II,T19,L5
220102102,II,T19,L5
220102103,II,T19,L5
220101001,III,T1,L6
220101002,III,T1,L6
220101003,III,T1,L6
220101004,III,T1,L6
220101005,III,T2,L6
220101006,III,T2,L6
220101007,III,T2,L6
220101008,III,T2,L6
220101009,III,T3,L6
220101010,III,T3,L6
220101011,III,T3,L6
220101012,III,T3,L6
220101013,III,T4,L6
220101014,III,T4,L6
220101015,III,T4,L6
220101016,III,T4,L6
220101017,III,T4,L6
220101018,III,T5,L6
220101019,III,T5,L6
220101020,III,T5,L6
220101021,III,T5,L6
220101022,III,T6,L6
220101023,III,T6,L6
220101024,III,T6,L6
220101025,III,T6,L6
220101026,III,T7,L6
220101027,III,T7,L6
220101028,III,T7,L6
220101029,III,T7,L6
220101030,III,T7,L6
220101031,III,T8,L6
220101032,III,T8,L6
220101033,III,T8,L6
220101034,III,T8,L6
220101035,III,T8,L6
220101036,III,T9,L6
220101037,III,T9,L6
220101038,III,T9,L6
220101039,III,T9,L6
220101040,III,T9,L6
220101041,III,T10,L6
220101042,III,T10,L6
220101043,III,T10,L6
220101044,III,T10,L6
220101045,III,T10,L6
220101046,III,T11,L6
220101047,III,T11,L6
220101048,III,T11,L6
220101049,III,T11,L6
220101050,III,T11,L6
220101051,III,T12,L6
220101052,III,T12,L6
220101053,III,T12,L6
220101054,III,T12,L6
220101055,III,T12,L6
220101056,III,T13,L6
220101057,III,T13,L6
220101058,III,T13,L6
220101059,III,T13,L6
220101060,III,T13,L6
220101061,III,T14,L6
220101062,III,T14,L6
220101063,III,T14,L6
220101064,III,T14,L6
220101065,III,T14,L6
220101066,III,T15,L6
220101067,III,T15,L6
220101068,III,T15,L6
220101069,III,T15,L6
220101070,III,T15,L6
220101071,III,T15,L6
220101072,III,T16,L6
220101073,III,T16,L6
220101074,III,T16,L6
220101075,III,T16,L6
220101076,III,T16,L6
220101077,III,T16,L6
220101078,III,T16,L6
220101079,III,T16,L6
220101080,III,T17,L6
220101081,III,T17,L6
220101082,III,T17,L6
220101083,III,T17,L6
220101084,III,T17,L6
220101085,III,T17,L6
220101086,III,T17,L6
220101087,III,T17,L6
220101088,III,T17,L6
220101089,III,T18,L6
220101090,III,T18,L6
220101091,III,T18,L6
220101092,III,T18,L6
220101093,III,T18,L6
220101094,III,T18,L6
220101095,III,T18,L6
220101096,III,T18,L6
220101097,III,T18,L6
220101098,III,T19,L6
220101099,III,T19,L6
220101100,III,T19,L6
220101101,III,T19,L7
220101102,III,T19,L7
220101103,III,T19,L7
220101104,III,T19,L7
220101105,III,T19,L7
220101106,III,T19,L7
220101107,III,T19,L7
220101108,III,T19,L7
220101109,III,T19,L7
220101110,III,T19,L7
220101111,III,T20,L7
220101112,III,T20,L7
220101113,III,T20,L7
220101114,III,T20,L7
220101115,III,T20,L7
220121001,III,T1,L7
220121002,III,T1,L7
220121003,III,T1,L7
220121004,III,T1,L7
220121005,III,T2,L7
220121006,III,T2,L7
220121007,III,T2,L7
220121008,III,T2,L7
220121009,III,T3,L7
220121010,III,T3,L7
220121011,III,T3,L7
220121012,III,T3,L7
220121013,III,T4,L7
220121014,III,T4,L7
220121015,III,T4,L7
220121016,III,T4,L7
220121017,III,T4,L7
220121018,III,T5,L7
220121019,III,T5,L7
220121020,III,T5,L7
220121021,III,T5,L7
220121022,III,T6,L7
220121023,III,T6,L7
220121024,III,T6,L7
220121025,III,T6,L7
220121026,III,T7,L7
220121027,III,T7,L7
220121028,III,T7,L7
220121029,III,T7,L7
220121030,III,T7,L7
220121031,III,T8,L7
220121032,III,T8,L7
220121033,III,T8,L7
220121034,III,T8,L7
220121035,III,T8,L7
220121036,III,T9,L7
220121037,III,T9,L7
220121038,III,T9,L7
220121039,III,T9,L7
220121040,III,T9,L7
