Roll no,Division,Tutorial,Lab,Location
220102073,II,T16,L4,4G1
220102074,II,T16,L4,4G1
220102075,II,T16,L4,4G1
220102076,II,T16,L4,4G1
220102077,II,T16,L4,4G1
220102078,II,T16,L4,4G1
220102079,II,T16,L4,4G1
220102080,II,T16,L4,4G1
220102082,II,T17,L4,4G2
220102083,II,T17,L4,4G2
220102084,II,T17,L4,4G2
220102085,II,T17,L4,4G2
220102086,II,T17,L4,4G2
220102087,II,T17,L4,4G2
220102088,II,T17,L4,4G2
220102089,II,T18,L4,L1
220102090,II,T18,L4,L1
220108053,II,T12,L4,5206
220108054,II,T12,L4,5206
220108055,II,T12,L4,5206
220108056,II,T13,L4,1G1
220108057,II,T13,L4,1G1
220108058,II,T13,L4,1G1
220108059,II,T13,L4,1G1
220108060,II,T13,L4,1G1
220108061,II,T14,L4,1G2
220108063,II,T14,L4,1G2
220108064,II,T14,L4,1G2
220108065,II,T14,L4,1G2
220106001,II,T1,L4,5G1
220106002,II,T1,L4,5G1
220106003,II,T1,L5,5G1
220106004,II,T1,L5,5G1
220106005,II,T2,L5,2101
220106006,II,T2,L5,2101
220106007,II,T2,L5,2101
220106008,II,T2,L5,2101
220106009,II,T3,L5,2203
220106010,II,T3,L5,2203
220106011,II,T3,L5,2203
220106012,II,T3,L5,2203
220106013,II,T3,L5,2203
220106014,II,T4,L5,2204
220106015,II,T4,L5,2204
220106017,II,T4,L5,2204
220106018,II,T5,L5,3102
220106019,II,T5,L5,3102
220106020,II,T5,L5,3102
220106021,II,T5,L5,3102
220106022,II,T6,L5,3202
220106023,II,T6,L5,3202
220106024,II,T6,L5,3202
220106025,II,T6,L5,3202
220106026,II,T6,L5,3202
220106027,II,T7,L5,4001
220106028,II,T7,L5,4001
220106029,II,T7,L5,4001
220106030,II,T7,L5,4001
220106031,II,T8,L5,4005
220106032,II,T8,L5,4005
220106033,II,T8,L5,4005
220106034,II,T8,L5,4005
220106036,II,T9,L5,4006
220106037,II,T9,L5,4006
220106038,II,T9,L5,4006
220106039,II,T9,L5,4006
220106040,II,T9,L5,4006
220106041,II,T10,L5,5201
220106042,II,T10,L5,5201
220106043,II,T10,L5,5201
220106044,II,T10,L5,5201
220106045,II,T10,L5,5201
220106046,II,T11,L5,1205
220106047,II,T11,L5,1205
220106048,II,T11,L5,1205
220106049,II,T11,L5,1205
220106050,II,T11,L5,1205
220106051,II,T12,L5,5206
220106052,II,T12,L5,5206
220106053,II,T12,L5,5206
