code,venue,roll
BT604,2202,"256106101, 256106102, 256106103, 256106107, 256106108, 256106109, 256106112, 256107107, 256152101, 254106004, 254106017, 254106032, 254106035, 254106101, 254106102, 254106103, 254106105, 254106106, 254106107, 254106108, 254106109"
BT608,5405,"256106102, 256106103, 256106105, 256106107, 256106108, 256151101, 256152101, 256158101, 256160102, 254106009, 254351007, 254106001, 254106002, 254106003, 254106005, 254106006, 254106007, 254106008, 254106011, 254106014, 254106015, 254106019, 254106023, 254106025, 254106026"
BT608,5406,"254106027, 254106028, 254106029, 254106031, 254106032, 254106033, 254106039, 254106040, 254106041, 254106042, 254106043, 254106110, 256107008, 256107010, 256152002, 256152005, 256154005, 256160101"
BT610,5305,"256106112, 254106009, 244106008, 244159106, 254106005, 254106007, 254106012, 254106019, 254106024, 254106027, 254106030, 254106034, 254106036, 254106038, 254106041, 254106042, 254106104, 256106012, 256106014, 256106106"
BT619,1205,"256106101, 256106103, 256106105, 256106107, 256106110, 256106111, 256152101, 256159101, 254106001, 254106008, 254106010, 254106012, 254106013, 254106015, 254106016, 254106018, 254106020, 254106021, 254106029, 254106031, 254106037, 254106039, 254106043, 254106101, 254106107, 256160101"
BT624,2204,"256106104, 246107020, 256106011, 256106014, 256106019"
BT630,5406,"256106104, 220106008, 220106009, 220106037, 220106053, 220106081, 254106017, 254106035, 256106011, 256121011"
BT631,5305,"256106102, 256106105, 256106108, 256106112, 254351007, 254106002, 254106003, 254106005, 254106006, 254106007, 254106013, 254106014, 254106016, 254106019, 254106024, 254106025, 254106028, 254106030, 254106033, 254106034"
BT631,5306,"254106037, 254106038, 254106039, 254106040, 254106041, 254106102, 254106104, 254106105, 254106106, 254106108, 254106109, 254106110, 256106017, 256106019, 256106106, 256151006, 256151007, 256160101, 256106013"
BT638,L2,"256106101, 256106103, 256106104, 256106105, 256106107, 256106109, 256106110, 256106111, 256159101, 254106004, 254106010, 254106011, 254106018, 254106020, 254106021, 254106022, 254106023, 254106026, 254106036, 256106012, 256106106"
CE201,5301,"240104001, 240104002, 240104003, 240104004, 240104005, 240104006, 240104007, 240104008, 240104009, 240104011, 240104012, 240104013, 240104014, 240104015, 240104016, 240104018, 240104019, 240104020, 240104021, 240104022, 240104023, 240104024, 240104025, 240104027, 240104028, 240104029, 240104031"
CE201,5302,"240104032, 240104033, 240104034, 240104035, 240104036, 240104037, 240104039, 240104040, 240104041, 240104042, 240104043, 240104044, 240104045, 240104046, 240104047, 240104048, 240104049, 240104050, 240104051, 240104052, 240104053, 240104054, 240104055, 240104056, 240104057, 240104058, 240104059"
CE201,5303,"240104060, 240104061, 240104062, 240104063, 240104064, 240104065, 240104066, 240104067, 240104068, 240104069, 240104070, 240104071, 240104072, 240104073, 240104074, 240104075, 240104076, 240104077, 240104080, 240104081, 240104082, 240104083, 240104084, 240104085, 240104086, 240104087, 240104088"
CE201,5304,"240104089, 240104090, 240104091, 240104093, 240104094, 240104096, 240104097, 240104098, 240104099, 240104101, 240104102, 240104103, 240104104, 240104106, 240104107, 240104108, 240104109, 240104110, 240104112, 240104113, 240104114, 240104115, 240104116"
